country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,3209,3823,4990,3894,3554
ARMENIA,243,319,1520,269,255
AUSTRALIA,19719,5020,30320,4756,16153
AZERBAIJAN,100,693,1270,1830,188
BANGLADESH,82,208,540,1767,371
BELARUS,346,91,2820,572,516
BOLIVIA,345,524,1030,386,257
BRAZIL,4168,5358,3900,3365,5905
BULGARIA,3063,4837,3700,4235,1858
CAMBODIA,929,1422,460,568,137
CANADA,15887,18771,33950,21099,22739
CENTRAL AFRICAN REPUBLIC,7.2,12,340,8,46
CHILE,1682,2027,6340,1725,1355
CHINA,31842,46809,1750,31026,24721
COLOMBIA,1891,933,2920,1553,1934
COSTA RICA,1810,1679,4890,487,556
CZECH REPUBLIC,5772,9404,12380,6963,2603
EGYPT,7206,8244,1240,5307,1932
EL SALVADOR,656,1127,2870,1239,288
FINLAND,3069,3140,40100,5902,3622
FRANCE,52139,74988,36000,22480,38643
GAMBIA,59,108,410,387,7
HONDURAS,465,673,1390,284,321
HUNGARY,4761,9979,10410,18622,2721
ICELAND,635,374,50730,364,991
INDIA,7659,3919,730,7185,8277
INDONESIA,5094,5002,1220,4106,4740
IRELAND,6780,7333,44070,6113,6186
ISRAEL,3427,1903,21230,3687,3780
ITALY,38374,36513,32390,24796,26774
JORDAN,1759,2987,2490,1523,653
KAZAKHSTAN,801,3143,2950,3004,940
KYRGYZSTAN,94,319,450,201,94
LATVIA,446,1116,7760,2959,655
MEXICO,12801,21915,7720,13305,8951
MOLDOVA,138,23,890,57,170
MOROCCO,5426,5843,1960,2247,999
NEPAL,160,375,310,373,221
NORWAY,4243,3824,63790,3166,10400
OMAN,627,891,10640,2018,863
PANAMA,1108,702,4530,285,388
PARAGUAY,96,341,1230,188,130
PERU,1438,1571,2540,1841,970
PHILIPPINES,2863,2623,1520,2144,3286
POLAND,7128,15200,7330,40841,5894
PORTUGAL,9042,10612,18550,18110,3742
RUSSIAN FEDERATION,7805,19940,4450,28416,17963
SLOVAKIA,1282,6184,11330,2987,1122
SPAIN,53066,55914,25930,10464,18441
SRI LANKA,729,549,1210,727,552
SWAZILAND,77.3,837,2390,1082,60
THAILAND,12102,11567,2590,3047,4917
TUNISIA,2800,6378,3190,2241,452
TURKEY,20760,20273,6510,8246,3563
UGANDA,382,468,300,189,185
UKRAINE,3542,17631,1540,16454,3078
UNITED KINGDOM,39245,28039,41010,66494,71627
UNITED STATES OF AMERICA,122077,49206,46340,63503,101421
URUGUAY,699,1808,4720,658,331
VENEZUELA,722,706,4920,1067,1843
