country,expense_in,tourism_in,ppp,tourism_out,expense_out 
ARGENTINA,435.348125478194,2614,520,4296,1035.61452513966 
BELARUS,1115.38461538462,234,28700,703,201.99146514936 
BOLIVIA,1019.16932907348,313,4460,269,323.420074349442 
BRAZIL,104.651162790698,2666,1310,3797,1313.66868580458 
BULGARIA,69.4096601073345,2795,140,3006,104.457751164338 
BURUNDI,2925.92592592593,27,310,35
CAMBODIA,1730.76923076923,260,20640,38,815.789473684211 
CANADA,33.7267152609048,17286,290,18973,728.139988404575 
COLOMBIA,3419.96830427892,631,3270,929,1540.36598493003 
CUBA,1335.33533533534,999,5930,72
EGYPT,287.981859410431,3528,1730,2812,491.465149359886 
ESTONIA,1278.1954887218,665,150,1547,91.1441499676794 
ETHIOPIA,14311.9266055046,109,24970,133,225.563909774436 
FRANCE,8.23638752684037,62406,4090,18151,1214.75400804363 
HONDURAS,1718.63117870722,263,4400,162,679.012345679012 
ICELAND,7721.39303482587,201,410,190,1642.10526315789 
IRELAND,107.95991680847,5289,17410,2733
ISRAEL,795.238095238095,2100,21770,2505,1137.3253493014 
ITALY,29.3840876665756,32943,42030,18173,1024.54190282287 
JORDAN,839.059674502712,1106,1340,1141,552.147239263804 
LITHUANIA,498.798076923077,832,41210,2864,94.2737430167598 
MALAYSIA,112.496497618381,7138,4320,23333,129.944713495907 
MEXICO,16.452442159383,21395,480,9001,440.284412843017 
MOLDOVA,59448.275862069,29,1430,54,1425.92592592593 
MOROCCO,256.219829186781,2693,210,1212,291.254125412541 
NEPAL,1527.91878172589,394,29140,119,1302.52100840336 
NICARAGUA,600.660066006601,303,190,282,280.141843971631 
NIGER,5617.64705882353,68,35800,10,5900 
NORWAY,367.443554260743,2746,6520,692,6877.1676300578 
PANAMA,3295.58011049724,362,1020,188,1117.02127659574 
PARAGUAY,875.586854460094,426,2110,418,442.583732057416 
PERU,2267.12328767123,584,1160,510,964.705882352941 
PHILIPPINES,369.448511469009,2049,3810,2121,606.789250353607 
POLAND,23.2869654817105,19410,12080,44713,142.17341712701 
ROMANIA,72.9854689564069,3028,2610,5748,124.565066109951 
SOUTH AFRICA,129.806714140387,4915,15740,2882,805.690492713393 
SPAIN,22.6664089892604,36221,740,4224,1499.05303030303 
SRI LANKA,3092.71523178808,302,1850,494,540.485829959514 
THAILAND,197.542794036444,7244,2010,1845,2566.39566395664 
TUNISIA,125.611325611326,3885,2920,1428,197.478991596639 
TURKMENISTAN,276.497695852535,217,280,29,2551.72413793103 
UKRAINE,30.098598858329,3854,21770,6004,67.4550299800133 
UNITED KINGDOM,55.4586675967911,22936,30380,42050,768.085612366231 
UNITED STATES OF AMERICA,47.2800017208372,46489,6160,52999,1235.4384044982 
VENEZUELA,1781.29117259552,759,670,511,4571.42857142857 
ZIMBABWE,93.2149651236525,1577 69,1710.14492753623 
