country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,769.949916527546,2995,3640,3088,970.531088082902
ARMENIA,436.893203883495,206,950,169,573.96449704142
AUSTRALIA,3823.38079926504,4354,21110,3388,2991.44037780401
AZERBAIJAN,91.1458333333333,768,820,1475,81.3559322033898
BANGLADESH,240.816326530612,245,450,1414,275.106082036775
BELARUS,5296.875,64,1630,1108,393.501805054152
BOLIVIA,569.086651053864,427,920,304,648.026315789474
BRAZIL,646.745705298814,4133,2920,3229,890.058841746671
BULGARIA,506.669960474308,4048,2350,3403,431.090214516603
CAMBODIA,629.101283880171,701,350,60,1000
CANADA,697.8441884339,17534,25210,17739,919.38666215683
CENTRAL AFRICAN REPUBLIC,666.666666666667,6,260,6,5166.66666666667
CHILE,811.028500619579,1614,4650,1341,826.994780014914
CHINA,567.394601152563,32970,1270,20222,826.624468400752
COLOMBIA,1905.6,625,2340,1177,1146.13423959218
COSTA RICA,1149.31396287328,1239,4200,373,1163.53887399464
CZECH REPUBLIC,532.521921214501,7641,8060,7213,301.816165257175
EGYPT,818.656456665506,5746,1290,3644,402.030735455543
EL SALVADOR,922.222222222222,720,2470,940,330.851063829787
ESTONIA,603.967168262654,1462,5710,2075,194.698795180723
FINLAND,1028.83506343714,2601,28680,5585,528.916741271262
FRANCE,612.807803006076,75048,26020,18576,1755.92161929371
GABON,378.378378378378,222,3870,236,1012.71186440678
HONDURAS,608.837970540098,611,1200,277,989.169675090253
INDIA,1672.78063096112,2726,530,5351,819.472995701738
INDONESIA,998.656816655473,4467,900,3478,1272.85796434733
IRELAND,769.662921348315,6764,29680,4929,980.320551836072
ISRAEL,2326.43461900282,1063,18390,3299,1012.73113064565
ITALY,822.921927078073,39604,23270,26817,884.923742402208
JORDAN,538.036549086273,2353,2000,1229,409.275834011391
KAZAKHSTAN,264.730290456432,2410,1800,2374,329.823083403538
KYRGYZSTAN,181.286549707602,342,340,116,301.724137931034
LATVIA,279.093717816684,971,5560,2286,159.667541557305
MALAYSIA,642.809870473669,10577,4130,32201,105.617837955343
MEXICO,538.869541923386,18665,6860,11044,656.64614270192
MOLDOVA,3761.90476190476,21,570,67,1761.19402985075
MOROCCO,798.571728628439,4761,1470,1612,524.193548387097
NEPAL,686.390532544379,338,260,258,461.240310077519
NORWAY,914.346895074946,3269,44760,2588,2739.18083462133
PANAMA,1420.49469964664,566,3830,227,1176.21145374449
PARAGUAY,302.238805970149,268,1050,153,751.633986928105
PERU,900.528169014084,1136,2090,1433,591.067690160502
PHILIPPINES,954.902988987939,1907,1260,1803,914.586799778148
POLAND,344.97084548105,13720,5550,38730,84.843790343403
RUSSIAN FEDERATION,287.580100767989,20443,2580,20572,652.683258798367
SAUDI ARABIA,466.175668303328,7332,8870,4104,1014.86354775828
SPAIN,862.528021394581,50854,18060,4094,2767.46458231558
SRI LANKA,1415.16966067864,501,950,561,823.529411764706
SWEDEN,858.528910449718,7627,32410,12649,741.165309510633
THAILAND,1037.09581432256,10082,2050,2152,1644.05204460967
TUNISIA,378.373093468909,5114,2500,2274,156.112576956904
UKRAINE,96.2122422886367,12514,980,14795,64.4136532612369
UNITED KINGDOM,1348.83925044982,22787,30640,61424,954.464053138838
UNITED STATES OF AMERICA,2463.36551991848,41218,39950,56250,1459.39555555556
URUGUAY,295.070422535211,1420,4240,495,476.767676767677
VENEZUELA,1121.66172106825,337,3450,832,1575.72115384615
