country;expense_in;tourism_in;900;tourism_out;expense_out
ARGENTINA;2975;2614;520;4296;4449
BELARUS;61;234;28700;703;142
BOLIVIA;100;313;4460;269;87
BRAZIL;744;2666;1310;3797;4988
BULGARIA;541;2795;140;3006;314
BURUNDI;2.141381133;27;310;35;..
CAMBODIA;117;260;20640;38;31
CANADA;10073;17286;290;18973;13815
COLOMBIA;1362;631;3270;929;1431
CUBA;1333;999;5930;72;..
EGYPT;3583;3528;1730;2812;1382
ESTONIA;565;665;150;1547;141
ETHIOPIA;170;109;24970;133;30
FRANCE;32088;62406;4090;18151;22049
HONDURAS;119;263;4400;162;110
ICELAND;312;201;410;190;312
IRELAND;3022.329606;5289;17410;2733;..
ISRAEL;3506;2100;21770;2505;2849
ITALY;31886;32943;42030;18173;18619
JORDAN;1026;1106;1340;1141;630
LITHUANIA;345;832;41210;2864;270
MALAYSIA;5732;7138;4320;23333;3032
MEXICO;7531;21395;480;9001;3963
MOLDOVA;50;29;1430;54;77
MOROCCO;1857;2693;210;1212;353
NEPAL;237;394;29140;119;155
NICARAGUA;55;303;190;282;79
NIGER;26;68;35800;10;59
NORWAY;2770;2746;6520;692;4758.849161
PANAMA;432;362;1020;188;210
PARAGUAY;159;426;2110;418;185
PERU;773;584;1160;510;492
PHILIPPINES;1551;2049;3810;2121;1287
POLAND;8764;19410;12080;44713;6357
ROMANIA;670;3028;2610;5748;716
SOUTH AFRICA;3137;4915;15740;2882;2322
SPAIN;29751;36221;740;4224;6332
SRI LANKA;282;302;1850;494;267
THAILAND;10367;7244;2010;1845;4735
TUNISIA;1895;3885;2920;1428;282
TURKMENISTAN;13;217;280;29;74
UKRAINE;448;3854;21770;6004;405
UNITED KINGDOM;29181;22936;30380;42050;32297.91562
UNITED STATES OF AMERICA;102196;46489;6160;52999;65477
VENEZUELA;1026;759;670;511;2336
ZIMBABWE;232;1577;;69;118
