country;expense_in;tourism_in;ppp;tourism_out;expense_out
ALBANIA;1833;2469;4390;4120;1678
ARGENTINA;6060;5705;11920;6686;7477
ARMENIA;488;758;3420;715;546
AZERBAIJAN;1500;1562;5530;3550;1778
BELARUS;747;116;6130;320;729
BOLIVIA;499;711;2010;775;410
BRAZIL;6830;5433;11010;7805;25070
BULGARIA;4554;6328;6870;3803;1498
CAMBODIA;2258;2882;810;710;344
CANADA;19989;16014;47090;30450;41234
CHILE;2751;3137;12350;2638;2047
CHINA;53313;57581;5000;70250;79010
COLOMBIA;3801;2042;6180;2522;3631
COSTA RICA;2375;2192;7980;717;522
CZECH REPUBLIC;8930;9019;19380;5279;4876
EGYPT;9333;9497;2590;4863;2575
ESTONIA;1683;2665;15830;1054;939
FINLAND;5591;4192;49910;7274;6009
FRANCE;66087;81550;44220;26155;55472
GEORGIA;1069;1319;2850;2237;384
GREECE;16256;16427;24980;4941;3807
HONDURAS;641.5;871;2090;449;446
HUNGARY;7239;10250;13020;16634;3048
INDONESIA;9038;7650;3010;6750;8653
IRELAND;9526;7630;42450;6514;6837
ISRAEL;6041;2820;31170;4387;4937
ITALY;45366;46119;37690;29295;35721
JORDAN;4351;3960;4370;1931;1280
KAZAKHSTAN;1524;4093;8190;8020;1831
LATVIA;1102;1493;13090;3257;920
MEXICO;12458;23403;8890;14799;9704
MOLDOVA;253;9;1980;136;349
MOROCCO;9101;9342;2900;2192;2260
NEPAL;415;736;610;774;420
OMAN;1571;1018;15160;2446;1982
PANAMA;3630;1473;8240;414;679
PARAGUAY;261;524;3260;347;308
PERU;2814;2598;4870;2132;1768
POLAND;11598;13350;12840;43270;8881
SAUDI ARABIA;9317;14179;20450;15281;18202
SLOVAKIA;2514;5961;17430;3285;2449
SOUTH AFRICA;10706;8339;7050;5455;8397
SPAIN;67644;56177;31280;13347;23209
SRI LANKA;1421;856;2580;1239;926
SWAZILAND;21.3;879;2750;1264;78
SWEDEN;12871;11567;56020;14651;17252
THAILAND;30926;19230;4590;5397;7320
TUNISIA;2529;4785;4050;2303;678
TURKEY;30302;34654;10490;6282;5372
UGANDA;977;1151;570;367;540
UKRAINE;5406;21415;3110;19773;4829
UNITED KINGDOM;44115;29306;40090;56836;63963
UNITED STATES OF AMERICA;187629;62821;50450;59209;116448
URUGUAY;2401;2857;12010;1534;797
VENEZUELA;805;595;11790;1719;2922
