country,expense_in,tourism_in,ppp,tourism_out,expense_out
ARGENTINA,3153.4,2764,8110,4517,4973
BELARUS,40,254,1530,969,122
BOLIVIA,129,355,960,285,96
BRAZIL,1025,2850,5030,4014,6208
BULGARIA,517,2980,1330,3059,355
CAMBODIA,99,219,320,45,28
CANADA,10390,17669,21130,19111,14151
CHINA,12626,23770,750,5324,9220
COLOMBIA,1315,639,2590,1071,1560
COSTA RICA,860,811,3390,288,401
EGYPT,4045.8,3656,1130,2722,1431
HONDURAS,152,307,720,183,115
ICELAND,314,202,28300,203,327
ISRAEL,3740,2010,18020,2707,2952
ITALY,31416,34692,22250,19078,19666
JORDAN,1063,1132,1580,1233,635
MALAYSIA,4925,6211,4570,26165,3158
MEXICO,8184,19351,4310,8910,4554
MOLDOVA,74,21,500,35,75
MOROCCO,1649,3072,1380,1203,363
NEPAL,201,422,220,132,141
NICARAGUA,82,358,890,330,86
NIGER,29,68,190,10,50
NORWAY,2570,2702,37920,753,4756
PANAMA,471,421,3230,194,243
PARAGUAY,145,395,1850,369,211
PERU,911,649,2250,577,608
PHILIPPINES,2347,2223,1230,1930,1969
POLAND,9053,19520,4240,48610,5855
ROMANIA,603,2957,1520,6243,699
SOUTH AFRICA,3422,4976,3780,2926,2558
SPAIN,28649,39553,16020,3980,6163
SRI LANKA,351,366,790,531,280
THAILAND,9052,7294,2720,1660,3752
TUNISIA,1858,4263,2160,1381,266
TURKMENISTAN,46,257,550,31,127
UKRAINE,477,7558,890,9632,462
UNITED KINGDOM,30483,23215,23240,45957,35954
UNITED STATES OF AMERICA,107047,47767,31390,53229,71948
URUGUAY,862,2316,6970,562,391
VENEZUELA,623,814,3350,460,1168
ZIMBABWE,205,1281,670,123,120
